spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,3.0,1.0,384.0,6.0,62.0,0.0,0.0,385.0,51.0,61.0,6.0,1563792540.0,0.63,0.67,1.0,1478772852.0,1140287469.0,61.0,1.0,697.0,0.0,29.0,3.0,278.0,2.0,368.844
0.0,0.0,7.0,3.0,690.0,6.0,63.0,0.0,1.0,446.0,123.0,65.0,4.0,1621628193.0,0.63,0.73,0.0,1203590550.0,1746738528.0,30.0,1.0,955.0,1.0,38.0,1.0,279.0,1.0,218.807
0.0,0.0,6.0,3.0,625.0,7.0,48.0,1.0,1.0,349.0,78.0,82.0,7.0,1558181248.0,0.7,0.71,0.0,1573546752.0,1594007040.0,48.0,1.0,723.0,0.0,31.0,2.0,252.0,2.0,171.052
0.0,0.0,6.0,3.0,638.0,7.0,48.0,1.0,1.0,347.0,80.0,81.0,7.0,1542747264.0,0.7,0.71,0.0,1573883904.0,1558076800.0,48.0,1.0,726.0,0.0,32.0,2.0,250.0,2.0,179.562
0.0,0.0,5.0,3.0,636.0,6.0,48.0,1.0,1.0,348.0,80.0,80.0,7.0,1603007744.0,0.7,0.7,0.0,1586368384.0,1616316416.0,48.0,1.0,742.0,0.0,32.0,2.0,250.0,2.0,213.06
1.0,555.0,3.0,1.0,384.0,4.0,38.0,1.0,1.0,235.0,95.0,109.0,6.0,1492378800.0,0.81,0.57,1.0,1833120159.0,1086784806.0,28.0,1.0,799.0,1.0,42.0,1.0,348.0,3.0,524.462
0.0,0.0,6.0,3.0,701.0,7.0,39.0,1.0,0.0,365.0,108.0,70.0,9.0,1239661125.0,0.52,0.67,0.0,1795798865.0,1805767809.0,24.0,0.0,631.0,0.0,24.0,3.0,160.0,2.0,212.723
1.0,863.0,5.0,2.0,384.0,5.0,60.0,0.0,0.0,213.0,33.0,93.0,6.0,1825326413.0,0.9,0.72,0.0,1778595034.0,1367079792.0,65.0,0.0,695.0,1.0,42.0,2.0,152.0,1.0,262.656
0.0,0.0,6.0,3.0,625.0,7.0,48.0,1.0,1.0,357.0,78.0,83.0,7.0,1556259200.0,0.7,0.71,0.0,1600817664.0,1595551744.0,48.0,0.0,733.0,0.0,31.0,2.0,252.0,2.0,173.043
0.0,0.0,6.0,3.0,624.0,7.0,48.0,1.0,1.0,346.0,80.0,82.0,7.0,1587490048.0,0.7,0.71,0.0,1586176896.0,1597481344.0,48.0,0.0,744.0,0.0,32.0,2.0,253.0,2.0,176.818
0.0,0.0,5.0,3.0,629.0,6.0,48.0,1.0,1.0,355.0,79.0,79.0,7.0,1576810624.0,0.71,0.69,0.0,1573071616.0,1625083136.0,48.0,0.0,742.0,0.0,32.0,2.0,247.0,2.0,205.599
