,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
43,421.807   (43),421.807,59.37922805,0.214508104,0.783528882,331.7370594,6.019882506,9.242109796,13.50903988,769.4834307,115.2637191,54.12311849,6.177967705,2068472114,0.760945563,0.731920483,812.5659064,0.719192269,0.244151707,1481370394,1444912304,55.11634067,0.960046821,760.2021263,0.989186966,25.60090009,3.445069015,426.4406784,2.645477351
44,100000   (44),100000,35.19791086,0.655689801,0.428858684,254.2454229,5.314360049,12.60992326,8.657420851,505.4780655,99.16240059,71.14377472,1.697587947,1788782250,0.600733292,0.155201776,686.2451153,0.5921329,0.181284473,1108754559,1825780713,24.51916813,0.845110122,901.014779,0.908149873,47.49073555,1.928276055,286.7689448,7.883879264
45,359.527   (45),359.527,42.17860245,0.269430463,0.623427358,297.958322,4.830405227,8.162749025,10.80125159,715.7716703,81.64138159,34.33190264,7.833461579,1711884794,0.586037847,0.294717614,587.6557562,0.726788782,0.430159965,1455094533,1193667359,65.80335113,0.319554671,778.2749893,0.70390619,18.3164564,2.588622218,426.4561125,3.14947957
46,359.527   (46),359.527,31.35291163,0.671457552,0.762179181,414.0084787,4.815451815,9.641637879,12.72821502,1492.769097,111.7298471,98.34384152,4.895740212,2095135006,0.649888992,0.56710101,644.7181812,0.834014956,0.32248878,1760529761,1498849757,53.18770026,0.138892355,664.5332605,0.188307061,28.63380892,3.289659276,398.894621,2.062143097
47,100000   (47),100000,58.93212379,0.539675013,0.921660733,478.7995505,5.786401156,8.845054372,10.54664232,775.8384027,89.52997857,84.73916174,3.5963838,1333375792,0.697266503,0.578791189,787.9093505,0.867132495,0.092816557,1297585964,1245242034,62.34071733,0.944838744,806.9078294,0.678005528,20.18127859,3.131402905,393.0892029,8.494282257
48,100000   (48),100000,59.28412673,0.169378754,0.421213007,220.6013165,5.92340649,12.0369202,13.65510131,1586.57988,76.43506773,107.6580624,5.534488353,1380819043,0.744949617,0.862684124,877.8519484,0.702108328,0.801847969,1602715652,1626079600,54.67951598,0.382541064,851.5669077,0.164363917,19.90885884,4.218731622,181.767367,2.869258472
49,100000   (49),100000,28.05312541,0.48976173,0.621947467,268.6462051,5.660869389,11.60198249,11.74076401,741.2436755,98.39937521,71.70103857,6.99808847,2032630966,0.518398502,0.498315655,724.4093558,0.731851205,0.425189306,1747031516,1356481336,63.50611482,0.430852926,633.167475,0.596298397,43.61942469,2.730185294,256.9349725,2.934644844
50,100000   (50),100000,28.29668203,0.764988524,0.323624492,440.8201788,6.186668048,12.22448447,9.959517235,1281.048874,74.69017474,86.87071705,9.871987202,1925740129,0.693386167,0.540050037,711.6890241,0.853167254,0.556466593,1614909057,2079738603,59.28572948,0.821568804,501.0394573,0.342159489,38.77983823,4.737921251,478.1078097,7.56730009
51,100000   (51),100000,56.77940846,0.235945619,0.535853542,281.8566878,4.679511287,11.07418357,11.42856739,1293.206494,85.30053831,51.49875358,9.587033869,1962007873,0.873482478,0.448405136,751.040074,0.615985811,0.244885216,1924882701,1504559324,41.28278593,0.302850918,694.8369752,0.751809477,31.67881171,4.103619044,478.508195,6.279758166
52,894.248   (52),894.248,42.92851653,0.106100435,0.601135759,282.3681391,4.019726701,12.69638807,8.182585803,671.2880205,94.46823481,52.71717009,6.032636528,1524060462,0.628273502,0.475861188,857.4690663,0.817785558,0.673824607,2095403854,1711349560,50.34888276,0.324592156,777.7617855,0.913254394,18.20935315,3.116410617,444.6287694,6.390095583
53,614.726   (53),614.726,40.08787117,0.143021496,0.455049801,312.8788129,4.931828871,8.919871764,12.061999,393.9197721,100.6577312,78.48382413,4.545991763,1764533381,0.508381114,0.642241667,669.2911276,0.559943909,0.820212039,1862240388,1467445782,65.66334557,0.22835683,927.6511569,0.644164819,20.6109069,1.921618719,487.5476988,4.267545955
54,473.425   (54),473.425,56.47556054,0.37627173,0.771196449,284.8444735,5.746049477,12.76693467,11.84891492,1053.669738,83.20031227,37.39307691,1.219658714,1930725785,0.583478249,0.672765444,713.0207576,0.731592891,0.291783939,2014725760,1399867128,55.47362452,0.230971565,847.2044299,0.670722768,23.15696617,2.695719245,469.6315475,6.628951504
55,291.55   (55),291.55,52.74812687,0.024561319,0.774178562,223.2811192,5.020698322,12.66482718,8.619742616,699.8693028,65.91278189,56.87962484,4.415455433,1907235412,0.555869271,0.602378363,695.1657388,0.662411123,0.301630706,1498256833,1470660422,69.18564208,0.241268737,668.0813425,0.78164306,19.48477999,2.397677062,366.8057065,6.153054015
56,278.445   (56),278.445,52.16592418,0.014100635,0.329135787,365.4335952,4.758183723,10.91719503,9.782529498,972.3874388,126.7478419,34.38379393,3.164670341,1819943062,0.641081783,0.237197387,323.911545,0.754324511,0.202136966,1686857406,1592608198,50.13729764,0.055699312,768.3348232,0.75155051,31.75193203,2.441203678,388.7377187,6.361112699
57,308.734   (57),308.734,27.14596596,0.382679303,0.690730928,305.4341455,4.82047357,10.49101229,8.228516499,805.7925408,102.3825116,83.78502466,4.94629566,1809533068,0.521544456,0.701594273,551.480062,0.805930882,0.570738776,1642379380,1558282512,49.57257962,0.376346371,848.1006865,0.788628705,26.89491763,1.9581571,417.4965153,5.436612391
58,308.734   (58),308.734,50.28762436,0.774153905,0.456029306,487.1419021,6.252116109,9.825332314,12.06665008,948.1796412,52.22314145,100.510887,4.060053152,2067464497,0.63796715,0.353526962,9.588361412,0.657224012,0.27371752,1491557658,1391878279,52.15253493,0.691244103,752.8161932,0.343896206,29.44803824,3.721370876,285.8580979,2.513916396
59,100000   (59),100000,29.61496889,0.315336238,0.512594321,356.2236703,4.872553997,10.19371131,9.813950458,1196.501724,108.354909,84.45023444,6.471770831,1421126681,0.577087485,0.70099455,414.5445321,0.800365872,0.078933144,1818901375,1313355489,43.96275188,0.56855787,966.5465693,0.132882436,19.84880611,1.869419722,426.9756684,3.442173906
60,745.57   (60),745.57,45.22878875,0.198284917,0.431874189,278.3757888,4.701329468,9.461046961,10.67906391,1108.062027,127.16887,32.07092758,3.090810884,2004223836,0.525494968,0.656177359,497.49536,0.637090462,0.297628604,1630695073,1941007367,54.06595591,0.350828362,787.3784335,0.752599445,33.21484782,3.213841863,409.1176986,2.587454136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-50运行总时间,,27223.436,,,,,,,,,,,,,,,,,,,,,,,,,,
